variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
wi_sd_log,0.8428311589,0.8389234999999999,0.06330818066692265,0.06267172590000002,0.729888875,0.9770238749999995,1.000019294358254,7620.965024353674,10716.452942828317,X230.076_1.3965313,10318,0.6946308724832215
bw_sd_log_level_2,0.84651668555,0.8449385,0.09705989037282203,0.09548388779999997,0.660948875,1.0431437499999996,1.000076663621186,5774.653746884978,9668.19884723018,X230.076_1.3965313,10318,0.6946308724832215
bw_sd_log_level_3,0.272535729855095,0.1805985,0.3289421865144461,0.16790318979,0.007295301,1.1119747499999977,1.0002136316489876,3808.523458857222,4993.665145411402,X230.076_1.3965313,10318,0.6946308724832215
icc_log_level_2,0.6737848814413703,0.6691632151140295,0.07068062019929376,0.06020400226034509,0.5516638398312812,0.8480423287712867,1.0004022659904828,3855.9036928843534,5258.615907634671,X230.0762_0.858709,10614,0.889261744966443
icc_log_level_3,0.09631823818332186,0.03888828169446866,0.1456818308018472,0.050705549039314755,1.1224055657240574e-4,0.5710379922896203,1.0004874416960126,3055.179403851102,5294.141805908167,X230.0762_0.858709,10614,0.889261744966443
icc_log_minus_centre_nominator,0.5774666432580484,0.6002398590236109,0.10577038334451443,0.07504167933972757,0.26896227899463104,0.7137943202941324,1.0005694294647647,4144.3144786413595,5488.088182704095,X230.0762_0.858709,10614,0.889261744966443
icc_log_minus_centre,0.6388045125453331,0.641806922067401,0.052827290557769156,0.052042567599601054,0.5279266190252563,0.7337393080514174,0.9999877770331481,4466.575796614779,8859.296550009238,X230.0762_0.858709,10614,0.889261744966443
wi_sd_log,0.5585549717,0.556534,0.03620110819681399,0.03548454840000002,0.493187825,0.6349493249999999,0.9999727990785294,7323.398348406049,11169.710129290665,X230.0762_0.858709,10614,0.889261744966443
bw_sd_log_level_2,0.7464935985,0.743826,0.06218587884386436,0.06141818760000002,0.63194825,0.8755508,0.9999745722172151,5332.443634447719,10228.159802301576,X230.0762_0.858709,10614,0.889261744966443
bw_sd_log_level_3,0.2690462573861095,0.186912,0.2996069966801429,0.15652156610999998,0.010024772500000001,1.068435749999997,1.0004877853742058,3049.224928431575,5209.671429200424,X230.0762_0.858709,10614,0.889261744966443
icc_log_level_2,0.6448158268057972,0.6222226852367019,0.13030265589405202,0.1225417723875735,0.43382319399055697,0.941036886312029,1.0003079495504623,3078.9651169569993,1841.0049746080595,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_level_3,0.3321458487587149,0.26739700840759933,0.2314358477903595,0.2112578798369653,0.04996046698784717,0.8877245187985225,0.9999898150361297,3205.8914631145,1815.4425959483112,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_minus_centre_nominator,0.3126699780470823,0.3290675028972958,0.12059487425004596,0.11959020587973007,0.05042592953497099,0.5125365164724478,1.000029951628047,3279.2558850261366,1802.3047032692032,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_minus_centre,0.46696087755273924,0.46972974026903785,0.06849340812548413,0.06815624852885582,0.32394575435777623,0.5917227296038744,1.0010876817001166,4655.935248300464,7699.594469151225,X263.1285_5.2630057,14272,0.9932885906040269
wi_sd_log,0.3325940782,0.331498,0.02037900394219179,0.02007959310000002,0.29622509999999996,0.375939375,1.000774415620113,7069.912902958442,11039.299307912423,X263.1285_5.2630057,14272,0.9932885906040269
bw_sd_log_level_2,0.31195698605,0.3117725,0.032681871807445445,0.03198264720000001,0.24802592499999998,0.37751509999999994,1.0007733539900234,5454.313019421147,9276.737047150751,X263.1285_5.2630057,14272,0.9932885906040269
bw_sd_log_level_3,0.377318734035,0.27592649999999996,0.3583567353134684,0.15304657410000003,0.10487279999999999,1.2805839999999997,0.9999975435357138,3223.1314467157567,1788.9137964037186,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_level_2,0.8084382904654198,0.8055974134892383,0.06353056185488981,0.061035313814352295,0.6869316465105886,0.940011930911138,1.00012199954665,5892.783816340575,10035.284065251904,X431.3_5.86525,10028,0.6140939597315436
icc_log_level_3,0.2909845967967368,0.2413353104964704,0.19679273681905954,0.1824791156715504,0.044707944907225614,0.7696750518159327,0.999998783171506,6690.883105831594,10671.591204380495,X431.3_5.86525,10028,0.6140939597315436
icc_log_minus_centre_nominator,0.517453693668683,0.5471033969456183,0.14931741854870154,0.14177126162141107,0.16601248809288588,0.7322342223689696,1.0000089014535471,6661.216574574049,9975.01579012334,X431.3_5.86525,10028,0.6140939597315436
icc_log_minus_centre,0.7292513595113973,0.7331080775324992,0.04964136166326551,0.04854411871738052,0.6212065938228731,0.8160526725973529,1.0000917551447164,4539.813740805369,9079.002737346073,X431.3_5.86525,10028,0.6140939597315436
wi_sd_log,0.67098153585,0.6679385,0.05348239681439179,0.0530229651,0.575093275,0.7848486749999998,0.9999659631551608,7952.969838498955,12704.602955582643,X431.3_5.86525,10028,0.6140939597315436
bw_sd_log_level_2,1.11038527785,1.105185,0.10323193758730217,0.10341876300000001,0.923937975,1.3294007499999998,1.000135497885688,5875.237680979154,9908.795348373229,X431.3_5.86525,10028,0.6140939597315436
bw_sd_log_level_3,0.8794607783,0.7296009999999999,0.5615065091082012,0.3766871471999999,0.28250287500000004,2.3792962499999977,0.9999819254537289,6672.713776112957,10537.535463562537,X431.3_5.86525,10028,0.6140939597315436
icc_log_level_2,0.7103660886394049,0.6953176264695686,0.10124094945208158,0.09646537619861688,0.5418613794269458,0.9335768644284164,1.0000448207635368,5351.8243108896695,6911.962695710286,X268.0809_1.638037,10038,0.9865771812080537
icc_log_level_3,0.3288758337541082,0.2713883653005945,0.21867653380897817,0.2043283931769204,0.0533876289085539,0.8431623812078579,1.0000391222383538,5353.659308176,6893.447540721147,X268.0809_1.638037,10038,0.9865771812080537
icc_log_minus_centre_nominator,0.38149025488529664,0.40356588901701373,0.1321593090803219,0.12887024951295017,0.08709482155853747,0.5869015840547795,0.9999969597443978,5159.274486667151,7360.810107742948,X268.0809_1.638037,10038,0.9865771812080537
icc_log_minus_centre,0.5674172903252527,0.5700269414965162,0.057257328140910654,0.05695281290510715,0.4455915120972902,0.6705475841394757,0.99999354620181,4237.719588712859,7745.152963650116,X268.0809_1.638037,10038,0.9865771812080537
wi_sd_log,0.5102874865,0.5089725,0.03122807753178595,0.03118723230000006,0.4533608,0.575690575,1.0002372915752076,7339.445176185425,11378.40388300347,X268.0809_1.638037,10038,0.9865771812080537
bw_sd_log_level_2,0.58652738745,0.5857335,0.05036771037508608,0.049951759199999994,0.49012497499999996,0.6877266999999989,1.0000081577848101,4954.651005259189,9279.007671891452,X268.0809_1.638037,10038,0.9865771812080537
bw_sd_log_level_3,0.60520860335,0.4749935,0.45311721702467955,0.25218581219999997,0.187975975,1.8074219999999972,1.0000391990536555,5399.465629227995,6972.553145796825,X268.0809_1.638037,10038,0.9865771812080537
icc_log_level_2,0.7192735776698321,0.7065860599294429,0.09884677214325698,0.09618779057085777,0.5519313758742792,0.9368689948609424,1.0000559003563323,6469.759517624817,8916.101119499543,X136.0381_1.6380798,16310,1
icc_log_level_3,0.3341377597943499,0.2813348936529505,0.21847063255559393,0.21178356385086763,0.054313372447328985,0.8508339553543144,1.0000236734847454,6566.308365965215,8951.245151724888,X136.0381_1.6380798,16310,1
icc_log_minus_centre_nominator,0.3851358178754822,0.4072829223250831,0.13404006380618944,0.13309026822107664,0.08605092617708508,0.5929212076551449,1.0000323495205754,6414.418654900859,8915.8454341689,X136.0381_1.6380798,16310,1
icc_log_minus_centre,0.577276472368187,0.5802509416666508,0.05697762312381593,0.056589070714333965,0.4583833752330466,0.6821770889134446,1.0001772825696786,5234.005862254247,8698.518944055877,X136.0381_1.6380798,16310,1
wi_sd_log,0.4851511348,0.48355899999999996,0.02924410642376435,0.02839327260000004,0.431586625,0.5462793499999998,1.0003932109877212,9308.845611987224,13088.857421783674,X136.0381_1.6380798,16310,1
bw_sd_log_level_2,0.569180287,0.5680985000000001,0.04898811849425543,0.04843283549999994,0.4769002,0.6695317749999998,1.0000548730533843,5724.320201270675,10203.722966028936,X136.0381_1.6380798,16310,1
bw_sd_log_level_3,0.58954933156,0.4668325,0.4340339539699026,0.24928436399999995,0.18166517499999998,1.7805287499999993,1.000037299089082,6591.039131010352,8953.329964900922,X136.0381_1.6380798,16310,1
icc_log_level_2,0.6150538213946427,0.5985165966189154,0.11644174529195654,0.10568464466277964,0.4239427855063904,0.8868894693109834,1.0000326036472134,5917.748742464876,9473.05244736407,X268.0804_0.86074626,15538,0.9697986577181208
