variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
icc_log_minus_centre_nominator,0.3840535545264964,0.4062409948634341,0.13060831497387854,0.1291966053869822,0.09126327053517645,0.588204548496144,1.0002055244228367,5550.939362542454,9082.900890237715,X268.0809_1.638037,10038,0.9865771812080537
icc_log_minus_centre,0.5712233253674417,0.5741813083940608,0.05804341807688049,0.05735788983317225,0.44878928466925605,0.6757866984092679,0.999959469917735,4800.200196839595,8870.08284065419,X268.0809_1.638037,10038,0.9865771812080537
wi_sd_log,0.51080451555,0.509548,0.03133891408843118,0.030743934899999985,0.45354445,0.577633125,1.0003019427517943,8251.143885115067,12023.007226982456,X268.0809_1.638037,10038,0.9865771812080537
bw_sd_log_level_2,0.591868754,0.5908325000000001,0.05185703133144443,0.0506752679999999,0.49392297500000004,0.6979518249999999,0.9999791126162056,5728.012083349,10492.743378742218,X268.0809_1.638037,10038,0.9865771812080537
bw_sd_log_level_3,0.60483386315,0.4792385,0.4407120575870371,0.25359873,0.190705975,1.7552447499999926,1.0001949974759425,5721.603995275752,8517.117953233246,X268.0809_1.638037,10038,0.9865771812080537
icc_log_level_2,0.7241341858488975,0.7099835816025353,0.09969892078787873,0.09659024785026984,0.5571261381353905,0.9417194684457225,1.0000438304502366,5976.07989967203,8274.469880454137,X136.0381_1.6380798,16310,1
icc_log_level_3,0.34160885678821107,0.28511863079130784,0.22247086363278268,0.21428145446415364,0.05470558140207997,0.8585252537506325,0.9999795448036722,5867.5142358864505,8265.838745289055,X136.0381_1.6380798,16310,1
icc_log_minus_centre_nominator,0.3825253290606865,0.4057680287111663,0.1370248189154173,0.13732616194805458,0.08001268732078527,0.5956896303583201,0.9999844464500851,5828.5681768567965,8520.168085138415,X136.0381_1.6380798,16310,1
icc_log_minus_centre,0.5799820720461627,0.5831949048226609,0.05749200432876605,0.05652647454036604,0.4589011552409483,0.6841543914678649,1.0003021502051097,5669.0162409467675,10186.263326809241,X136.0381_1.6380798,16310,1
wi_sd_log,0.4849288205,0.48355800000000004,0.029981785805606783,0.029545994100000063,0.43095995000000004,0.5482377249999999,1.0000238927315601,8846.982119693745,12419.94040082625,X136.0381_1.6380798,16310,1
