centre,variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
Basel,icc_data,0.8971585050296852,0.9009904235519095,0.027786840414474157,0.026691662682241005,0.8337570681316506,0.9399641658287607,1.0015703638975024,1644.0563590361357,3135.6535771424774,X202.0144_2.732465,414482,1
Basel,icc_log,0.9078920993252407,0.9116532689074788,0.02644883898694437,0.025357948841136083,0.8474559823971987,0.9488570942206708,1.0017239622186842,1572.7927822301226,2964.5163698699566,X202.0144_2.732465,414482,1
Basel,wi_sd_data,180368.84634172512,177696.02321709285,25823.484646294768,24548.72795719925,137811.41819225988,238326.8466314012,1.0001872260256879,2001.9537092094758,3507.336073711261,X202.0144_2.732465,414482,1
Basel,bw_sd_data,544300.1892839287,530903.340953426,94236.3712412868,85084.63385680168,398387.4082163971,767344.8021242699,1.0022813592527935,1234.5579851601312,2428.190052083958,X202.0144_2.732465,414482,1
Basel,wi_sd_log,0.150618269375,0.14917049999999998,0.016386796988200704,0.01604692109999998,0.122435325,0.18647735,1.00001348642099,3614.8818513038577,4232.854956711915,X202.0144_2.732465,414482,1
Basel,bw_sd_log,0.48241771025,0.47790299999999997,0.05372641475515885,0.05204667300000008,0.391153025,0.5995809249999998,1.0021925802764882,1488.3081114371635,2288.661471991183,X202.0144_2.732465,414482,1
Basel,icc_data,0.8637435343848373,0.8691442045630997,0.039189696043797594,0.036672959201119154,0.7742199747270357,0.9247399200590661,1.0001961776274142,1202.1810489426819,2331.5298174606723,X429.3722_8.839862,270415,1
Basel,icc_log,0.8682451989680284,0.873461855445328,0.03864454815021429,0.036130816060210506,0.7792242180174993,0.9283563873571552,1.0001954330203071,1183.6732988686267,2314.6604861921383,X429.3722_8.839862,270415,1
Basel,wi_sd_data,50037.309324679016,49424.026651386455,6087.428314007591,5817.234079927752,39852.327349609266,63756.10752402267,1.0000878168370437,2509.304109446573,3932.3004872921383,X429.3722_8.839862,270415,1
Basel,bw_sd_data,128643.95380515496,127258.123583606,17276.318780913945,16610.687771680667,99893.74263561991,167546.65858928257,1.0000553754905794,839.750097196934,1504.1291599179892,X429.3722_8.839862,270415,1
Basel,wi_sd_log,0.10107421485,0.10008,0.01142272300952135,0.01105011432,0.0820411075,0.12645665,1.0001000124467994,2987.485098411904,3808.562093853507,X429.3722_8.839862,270415,1
Basel,bw_sd_log,0.264809960375,0.262343,0.030248432538830618,0.02951485950000001,0.21233335,0.3303538499999999,1.0000059084262076,966.679911033491,1956.272495431611,X429.3722_8.839862,270415,1
Basel,icc_data,0.5977848136755377,0.6062077324197617,0.09260525756743031,0.09093795330002272,0.38759382899177003,0.7518649410895719,1.0005315908100472,1792.5855572972125,2325.0075723185037,X350.2224_7.2305984,26754,1
